data_year,district,park_addr,park_area,park_name
2024,浦东新区,川环南路华戴路东南角,4664,川舟园
2024,浦东新区,五莲路菏泽路东北角,4412,五莲时光花园
2024,黄浦区,董家渡路以南、会馆街以北、青龙桥街以东,3500,董家渡百草园
2024,徐汇区,乌鲁木齐中路、复兴西路 、淮海中路三岔口,2200,乌中绿地
2024,长宁区,安化路凤冈路西北角,1221,愚园怡亭
2024,静安区,光复路梅园路西北角,2800,知秋园
2024,静安区,昌平路北侧(陕西北路-西康路),3846,蒋家巷花园
2024,普陀区,梅岭南路李村路西南角,859,李村园
2024,虹口区,大名路武昌路路口,2824,北外滩城市花甸
2024,虹口区,汶水东路南侧（凉城路-水电路）,3580,秋光里
2024,闵行区,季乐路（双鹤浦港西侧）,9850,乐泰滨河公园
2024,闵行区,文井路江川路西北角,1128,紫庭
2024,闵行区,剑川路虹梅南路西南角,7465,蝶变园
2024,嘉定区,嘉定城墙遗址（西水关）南侧30米,3400,栖霞苑
2024,奉贤区,南桥镇育秀路古华路,5700,育秀园
2024,青浦区,万寿一路以南，万寿路以东,3485,万寿小花园
2024,青浦区,海盈路卫中路西南角,1056,松枫苑
2021,黄浦区,淮海中路、重庆南路口,4250,四明里绿地
2021,徐汇区,复兴中路1380号,6139,交响乐团小游园
2021,徐汇区,零陵路天钥桥路路口,4600,天钥桥路小游园
2021,普陀区,礼尚路礼泉路东南角,3240,礼泉园
2021,普陀区,梅岭南路李村路西南角,859,李村园
2021,崇明区,鼓浪屿路、育麟桥路口,5000,鼓浪屿路口街心公园
2022,黄浦区,南苏州路中山东一路路口,3000,最美花园
2022,徐汇区,复兴中路1380号,6139,交响乐团小游园
2022,徐汇区,桂林路桂林西街路口,1700,五月花园
2022,普陀区,梅岭南路李村路西南角,859,李村园
2022,杨浦区,长阳路、宁国路西南角,3100,长阳路宁国路公共绿地
2022,嘉定区,泽丰路泽园路东南角,900,泽园
2023,浦东新区,世纪大道陆家嘴环路,7500,世纪大道柳园
2023,浦东新区,杨高路龙阳路立交、南匝道内圈,3494,桥荫里·玉兰园
2023,黄浦区,复兴中路瑞金二路路口,1848,民防苑治愈花园
2023,长宁区,水城路219号（水城路虹古路西北角）,4561,伊水园
2023,静安区,江场西路501号东侧,5462,半里绿廊
2023,普陀区,真北路近华灵路,3600,玉兰园（普陀）
2023,普陀区,中山北路光新路东南角,2230,明珠园
2023,普陀区,大渡河路虬江河南侧,2626,蝶缘
2023,闵行区,G50北、航东路西,5000,航东春沁园
2023,闵行区,雅清路与沪闵公路之间,3665,雅清园
2023,闵行区,浦雪路江月路路口,7785,锦和园
2023,宝山区,牡丹江路东侧、水产路北侧,24100,西家浜绿地
2023,宝山区,沪联路韶山路东南角,1415,秋意苑
2023,松江区,人民北路、南期昌路东南角,7700,人民路、其昌路街心花园
2023,青浦区,城中东路以北，保安路以西,3800,横卯泾绿地
2024,浦东新区,金京路佳乐路路口,5600,金桥镇樱花公园
2024,浦东新区,潍坊八村南侧,8000,坊馨苑
2024,浦东新区,云鹃路香竹路东南角,7100,湖滨天地（临港新片区）
2024,黄浦区,重庆南路、南昌路西南角,3700,玉兰园
2024,普陀区,礼尚路礼泉路东南角,3240,礼泉园
2024,普陀区,真北路华灵路路口,1478,桃花源
2024,普陀区,大渡河路虬江河南侧,2626,蝶缘
2024,虹口区,凉城路车站南路口东北角,1447,良辰园
2024,杨浦区,昆明路荆州路东北角,3100,荆园
2024,杨浦区,中山北二路北侧（密云路-走马塘泵站）,4500,北云花园
2024,闵行区,沪青平公路七莘路路口,1680,沪青平满棠园
